"Id","MSSubClass","MSZoning.C (all)","MSZoning.FV","MSZoning.RH","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","Street.Grvl","Street.Pave","LotShape.IR1","LotShape.IR2","LotShape.IR3","LotShape.Reg","LandContour.Bnk","LandContour.HLS","LandContour.Low","LandContour.Lvl","Utilities.AllPub","Utilities.NoSeWa","LotConfig.Corner","LotConfig.CulDSac","LotConfig.FR2","LotConfig.FR3","LotConfig.Inside","LandSlope.Gtl","LandSlope.Mod","LandSlope.Sev","Neighborhood.Blmngtn","Neighborhood.Blueste","Neighborhood.BrDale","Neighborhood.BrkSide","Neighborhood.ClearCr","Neighborhood.CollgCr","Neighborhood.Crawfor","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.IDOTRR","Neighborhood.MeadowV","Neighborhood.Mitchel","Neighborhood.NAmes","Neighborhood.NoRidge","Neighborhood.NPkVill","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.SawyerW","Neighborhood.Somerst","Neighborhood.StoneBr","Neighborhood.SWISU","Neighborhood.Timber","Neighborhood.Veenker","Condition1.Artery","Condition1.Feedr","Condition1.Norm","Condition1.PosA","Condition1.PosN","Condition1.RRAe","Condition1.RRAn","Condition1.RRNe","Condition1.RRNn","Condition2.Artery","Condition2.Feedr","Condition2.Norm","Condition2.PosA","Condition2.PosN","Condition2.RRAe","Condition2.RRAn","Condition2.RRNn","BldgType.1Fam","BldgType.2fmCon","BldgType.Duplex","BldgType.Twnhs","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1.5Unf","HouseStyle.1Story","HouseStyle.2.5Fin","HouseStyle.2.5Unf","HouseStyle.2Story","HouseStyle.SFoyer","HouseStyle.SLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Flat","RoofStyle.Gable","RoofStyle.Gambrel","RoofStyle.Hip","RoofStyle.Mansard","RoofStyle.Shed","RoofMatl.ClyTile","RoofMatl.CompShg","RoofMatl.Membran","RoofMatl.Metal","RoofMatl.Roll","RoofMatl.Tar&Grv","RoofMatl.WdShake","RoofMatl.WdShngl","Exterior1st.AsbShng","Exterior1st.AsphShn","Exterior1st.BrkComm","Exterior1st.BrkFace","Exterior1st.CBlock","Exterior1st.CemntBd","Exterior1st.HdBoard","Exterior1st.ImStucc","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.Stone","Exterior1st.Stucco","Exterior1st.VinylSd","Exterior1st.Wd Sdng","Exterior1st.WdShing","Exterior2nd.AsbShng","Exterior2nd.AsphShn","Exterior2nd.Brk Cmn","Exterior2nd.BrkFace","Exterior2nd.CBlock","Exterior2nd.CmentBd","Exterior2nd.HdBoard","Exterior2nd.ImStucc","Exterior2nd.MetalSd","Exterior2nd.Other","Exterior2nd.Plywood","Exterior2nd.Stone","Exterior2nd.Stucco","Exterior2nd.VinylSd","Exterior2nd.Wd Sdng","Exterior2nd.Wd Shng","MasVnrType.BrkCmn","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Ex","ExterQual.Fa","ExterQual.Gd","ExterQual.TA","ExterCond.Ex","ExterCond.Fa","ExterCond.Gd","ExterCond.Po","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","Foundation.Slab","Foundation.Stone","Foundation.Wood","BsmtQual.Ex","BsmtQual.Fa","BsmtQual.Gd","BsmtQual.TA","BsmtCond.Fa","BsmtCond.Gd","BsmtCond.Po","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.ALQ","BsmtFinType2.BLQ","BsmtFinType2.GLQ","BsmtFinType2.LwQ","BsmtFinType2.Rec","BsmtFinType2.Unf","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating.Floor","Heating.GasA","Heating.GasW","Heating.Grav","Heating.OthW","Heating.Wall","HeatingQC.Ex","HeatingQC.Fa","HeatingQC.Gd","HeatingQC.Po","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.FuseF","Electrical.FuseP","Electrical.Mix","Electrical.SBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual.Ex","KitchenQual.Fa","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Maj1","Functional.Maj2","Functional.Min1","Functional.Min2","Functional.Mod","Functional.Sev","Functional.Typ","Fireplaces","FireplaceQu.Ex","FireplaceQu.Fa","FireplaceQu.Gd","FireplaceQu.Po","FireplaceQu.TA","GarageType.2Types","GarageType.Attchd","GarageType.Basment","GarageType.BuiltIn","GarageType.CarPort","GarageType.Detchd","GarageYrBlt","GarageFinish.Fin","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageArea","GarageQual.Ex","GarageQual.Fa","GarageQual.Gd","GarageQual.Po","GarageQual.TA","GarageCond.Ex","GarageCond.Fa","GarageCond.Gd","GarageCond.Po","GarageCond.TA","PavedDrive.N","PavedDrive.P","PavedDrive.Y","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC.Ex","PoolQC.Fa","PoolQC.Gd","Fence.GdPrv","Fence.GdWo","Fence.MnPrv","Fence.MnWw","MiscFeature.Gar2","MiscFeature.Othr","MiscFeature.Shed","MiscFeature.TenC","MiscVal","MoSold","YrSold","SaleType.COD","SaleType.Con","SaleType.ConLD","SaleType.ConLI","SaleType.ConLw","SaleType.CWD","SaleType.New","SaleType.Oth","SaleType.WD","SaleCondition.Abnorml","SaleCondition.AdjLand","SaleCondition.Alloca","SaleCondition.Family","SaleCondition.Normal","SaleCondition.Partial"
165,40,0,0,0,0,1,40,5400,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,7,1926,2004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,370,0,0,0,0,0,1,0,779,1149,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1149,467,0,1616,0,0,2,0,3,1,0,0,1,0,5,0,0,0,0,0,0,1,0,-6.24500451351651e-18,0.04,0.88,-4.93355356567804e-17,0.12,0,0,0,0,0,1,1926,0,0,1,1,216,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,183,0,0,0,0.34,0.27,0.462,0.23,0.13,0.705,0.02,0.08,0.12,0.83,0,0,10,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
166,190,0,0,0,1,0,62,10106,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,7,1940,1999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,351,0,0,0,0,1,0,181,112,644,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,808,547,0,1355,1,0,2,0,4,2,0,0,0,1,6,0,0,0,0,0,0,1,0,-6.10622663543836e-18,0.00999999999999999,0.67,0.05,0.19,0.01,0.0899999999999999,0.00999999999999998,0.06,0.02,0.8,1947.72642857143,0.05,0.0499999999999994,0.91,0,0,-1.27241966962899e-17,0.13,0.06,-1.2867311383058e-17,0.8,-1.06750545902923e-17,0.0699999999999999,-2.31238639347708e-17,-4.04537514597791e-17,0.87,0,0,1,140,0,0,0,0,0,0.33,0.32,0.44,0.1,0.12,0.635,0.05,0.03,0.12,0.77,0,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
167,20,0,0,0,1,0,89.6119444444444,10708,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5,1955,1993,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,379,0,1,0,0,0,0,768,470,1617,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1867,0,0,1867,1,0,1,0,2,1,0,0,0,1,7,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,1955,1,0,0,1,303,0,0,0,0,1,0,0,0,0,1,0,0,1,476,0,0,0,142,0,0.24,0.35,0.492,0,1,0,0,0.01,0.06,0.9,0.05,0,11,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,60,0,0,0,1,0,86,10562,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2007,2007,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,300,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1288,0,0,0,0,0,1,0,294,1582,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1610,551,0,2161,1,0,1,1,3,1,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2007,1,0,0,3,789,0,0,0,0,1,0,0,0,0,1,0,0,1,178,120,0,0,0,0,0.33,0.2,0.292,0.6,0.23,0.35,0.04,0.02,0.07,0.92,0.01,0,11,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
169,60,0,0,0,1,0,62,8244,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2004,2004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,840,840,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,840,880,0,1720,0,0,2,1,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2004,1,0,0,2,440,0,0,0,0,1,0,0,0,0,1,0,0,1,100,48,0,0,0,0,0.26,0.24,0.402,0.35,0.16,0.62,0.00999999999999994,0.02,0.06,0.92,0,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
170,20,0,0,0,1,0,91.121,16669,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,6,1981,1981,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,653,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1686,1686,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1707,0,0,1707,0,0,2,1,2,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1981,0,1,0,2,511,0,0,0,0,1,0,0,0,0,1,0,0,1,574,64,0,0,0,0,0.16,0.43,0.472,0.35,0.18,0.572,0.00999999999999996,0.06,0.03,0.89,0.02,0,1,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
171,50,0,0,0,0,1,60.7116666666667,12358,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,6,1941,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,360,0,0,0,0,0,1,0,360,720,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,854,0,528,1382,0,0,1,1,2,1,0,0,0,1,7,0,0,0,0,0,0,1,0,-6.27969898303604e-18,0.04,0.7,0.02,0.16,0,0,0,0,0,1,1991,0,0,1,2,660,0,0,0,0,1,0,0,0,0,1,0,0,1,237,0,0,0,0,0,0.24,0.32,0.422,0.06,0.09,0.71,0.05,0.01,0.09,0.85,0.01,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
172,20,0,0,0,1,0,141,31770,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1960,1960,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,639,0,0,0,0,0,1,0,441,1080,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1656,0,0,1656,1,0,1,0,3,1,0,0,0,1,7,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1960,1,0,0,2,528,0,0,0,0,1,0,0,0,0,1,0,1,0,210,62,0,0,0,0,0.24,0.3,0.552,0.23,0.22,0.53,0.06,0.1,0.07,0.84,0.01,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
173,160,0,0,0,1,0,44,5306,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,7,1987,1987,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,495,0,0,0,0,1,0,215,354,1064,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1064,703,0,1767,1,0,2,0,2,1,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1987,0,1,0,2,504,0,0,1,0,0,0,0,0,0,1,0,0,1,441,35,0,0,0,0,0.29,0.3,0.302,0.4,0.07,0.54,0.04,0.11,0.1,0.8,0.02,0,6,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
174,20,0,0,0,1,0,80,10197,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1961,1961,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,491,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,288,0,0,0,0,1,0,374,700,1362,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1362,0,0,1362,1,0,1,1,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1961,0,0,1,2,504,0,0,0,0,1,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0.19,0.49,0.482,0.13,0.285,0.35,-4.0314973581701e-17,0.04,0.03,0.9,-6.93889390390723e-20,0,6,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,20,0,0,0,1,0,47,12416,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1986,1986,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,132,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1398,0,0,0,1,0,0,208,0,1606,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1651,0,0,1651,1,0,2,0,3,1,0,0,0,1,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1986,1,0,0,2,616,0,0,0,0,1,0,0,0,0,1,0,0,1,192,0,0,0,0,0,0.13,0.47,0.362,0.14,0.11,0.68,-3.46944695195361e-17,0.02,0.05,0.92,0.05,0,11,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
176,20,0,0,0,1,0,84,12615,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,7,1950,2001,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,477,0,0,0,0,0,1,0,725,1202,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2158,0,0,2158,1,0,2,0,4,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1950,0,0,1,2,576,0,0,0,0,1,0,0,0,0,1,0,0,1,0,29,39,0,0,0,0.26,0.26,0.35,0,0,1,0,0.01,0.12,0.87,-3.46944695195361e-20,0,6,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
177,60,0,0,0,1,0,97,10029,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,5,1988,1989,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,268,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,831,0,0,0,0,0,1,0,320,1151,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1164,896,0,2060,0,1,2,1,4,1,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1988,0,0,1,2,521,0,0,0,0,1,0,0,0,0,1,0,0,1,0,228,0,0,192,0,0.3,0.35,0.342,0.64,0.07,0.23,0.00999999999999995,0.05,0.03,0.91,0.01,0,9,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
178,50,0,0,0,1,0,82.5861666666667,13650,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1958,1958,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,57,0,1,0,0,0,0,441,554,1052,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1252,668,0,1920,1,0,2,0,4,1,0,0,1,0,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1958,0,0,1,2,451,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.24,0.29,0.422,0.18,0.11,0.49,0.00999999999999995,0.03,0.08,0.87,0.06,0,7,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
179,20,0,0,0,1,0,63,17423,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,5,2008,2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,748,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1904,0,0,0,0,0,1,0,312,2216,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2234,0,0,2234,1,0,2,0,1,1,1,0,0,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2009,1,0,0,3,1166,0,0,0,0,1,0,0,0,0,1,0,0,1,0,60,0,0,0,0,0.3,0.21,0.432,0.31,0.28,0.58,0.06,0.045,0.07,0.86,0.03,0,7,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
180,30,0,0,0,0,1,60,8520,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,6,1923,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,968,968,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,968,0,0,968,0,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0.01,0.07,0.885,0.02,0.0399999999999997,0,0,0,0,0,1,1935,0,0,1,2,480,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,184,0,0,0,0.32,0.29,0.472,0.11,0.09,0.66,0.00999999999999996,0.08,0.1,0.89,0,0,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
181,160,0,1,0,0,0,29.99,2117,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,5,2000,2000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,456,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,436,0,0,0,0,0,1,0,320,756,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,769,756,0,1525,0,0,2,1,3,1,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2000,0,0,1,2,440,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.36,0.352,0.59,0.19,0.34,0.04,0.03,0.06,0.87,-3.46944695195361e-20,0,6,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
